feature,horizon_ms,blocks,positive_blocks,positive_share,min_block,max_block,N,mean_signed_bps,avg_hit_rate,period,q
gap_localTrade,30000,14,14,1.0,0.3641399162588113,1.060227084517329,2944,0.6476122197181375,0.5764266304347826,ALL24,0.8
leader1000_extOFI,1000,14,14,1.0,0.046132639307941294,0.29709541425178776,41240,0.1572943952845706,0.22919495635305528,ALL24,0.8
leader1000_extOFI,2000,14,14,1.0,0.05651620674939966,0.31569227581985926,29372,0.18395799904980473,0.29919651368650413,ALL24,0.8
leader1000_extOFI,5000,14,14,1.0,0.10357498036941926,0.38091099312760635,17943,0.23972840713614083,0.39112745917628045,ALL24,0.8
leader1000_extOFI,10000,14,14,1.0,0.13726970023256685,0.45357275601810054,11281,0.26418773044599225,0.4418934491623083,ALL24,0.8
leader1000_extOFI,30000,14,13,0.9285714285714286,-0.11747938892491111,0.8099898152613982,4752,0.3129081950473691,0.492003367003367,ALL24,0.8
depthBoth,1000,6,6,1.0,0.10131122954420756,0.2528330258018478,11320,0.1597296530342285,0.2378975265017668,WEEKEND12,0.9
depthBoth,2000,6,6,1.0,0.16774045415996772,0.3416064471056079,7367,0.2501612914169288,0.3534681688611375,WEEKEND12,0.9
depthBoth,5000,6,6,1.0,0.308344188420986,0.4968634213694359,4490,0.3915520231206877,0.5084632516703786,WEEKEND12,0.9
depthBoth,10000,6,6,1.0,0.4270145103307042,0.643207431932337,3134,0.47801233851143154,0.595405232929164,WEEKEND12,0.9
depthBoth,30000,6,6,1.0,0.3662553501416616,0.7281388188605746,1661,0.5619458361259055,0.6261288380493678,WEEKEND12,0.9
depthL1_extOFI,1000,6,6,1.0,0.11258974450717249,0.26194340244503656,11079,0.1753174529876575,0.2582363029154256,WEEKEND12,0.9
depthL1_extOFI,2000,6,6,1.0,0.17553548202122374,0.3720787956776515,7428,0.26703338145411554,0.3729133010231556,WEEKEND12,0.9
depthL1_extOFI,5000,6,6,1.0,0.3243290826404969,0.5068617625846012,4586,0.414671819401827,0.5279110335804623,WEEKEND12,0.9
depthL1_extOFI,10000,6,6,1.0,0.46128613284942455,0.6486759939173401,3200,0.5059466313875953,0.6025,WEEKEND12,0.9
depthL1_extOFI,30000,6,6,1.0,0.4046549096368509,0.7779155469067526,1699,0.5542638327892159,0.6209535020600353,WEEKEND12,0.9
gap_depthBoth,1000,6,6,1.0,0.08460757767807832,0.2759820622361879,7537,0.149916434335387,0.16770598381318827,WEEKEND12,0.9
gap_depthBoth,2000,6,6,1.0,0.15313311921765393,0.370345911343193,4474,0.23878392391258157,0.2682163611980331,WEEKEND12,0.9
gap_depthBoth,5000,6,6,1.0,0.2918578011564766,0.4373820783087369,2536,0.37211531046707524,0.43375394321766564,WEEKEND12,0.9
gap_depthBoth,10000,6,6,1.0,0.3292271323516367,0.644944344249599,1788,0.527254032607139,0.5296420581655481,WEEKEND12,0.9
gap_depthBoth,30000,6,6,1.0,0.5160559330904243,0.7365319939326528,1072,0.6679379486223279,0.6128731343283582,WEEKEND12,0.9
gap_depthL1,1000,6,6,1.0,0.0849010705479687,0.2725451942759282,7997,0.14643716448291938,0.16406152307115168,WEEKEND12,0.9
gap_depthL1,2000,6,6,1.0,0.15022581162323892,0.3711638605624299,4716,0.2353038429743084,0.2644189991518236,WEEKEND12,0.9
gap_depthL1,5000,6,6,1.0,0.28489662843710983,0.42513176703910815,2649,0.36627476645734175,0.43148357870894677,WEEKEND12,0.9
gap_depthL1,10000,6,6,1.0,0.32941686268792425,0.6075670734810169,1855,0.5110905696681071,0.5239892183288409,WEEKEND12,0.9
gap_depthL1,30000,6,6,1.0,0.5144563677066968,0.7503019015851339,1098,0.6362587034331478,0.6065573770491803,WEEKEND12,0.9
gap_depth_extOFI,1000,6,6,1.0,0.08974132686287783,0.29220898450267385,7075,0.15499730365338263,0.16692579505300353,WEEKEND12,0.9
gap_depth_extOFI,2000,6,6,1.0,0.16221785236182443,0.3933318502651796,4322,0.2512671927582828,0.26816288755205925,WEEKEND12,0.9
gap_depth_extOFI,5000,6,6,1.0,0.29982332157488417,0.47790644374620384,2475,0.3889081703468182,0.43232323232323233,WEEKEND12,0.9
gap_depth_extOFI,10000,6,6,1.0,0.3656407141135644,0.6306867273352229,1750,0.5419847401624012,0.5274285714285715,WEEKEND12,0.9
gap_depth_extOFI,30000,6,6,1.0,0.6074744438513198,0.7604944060088558,1047,0.7033428417874786,0.620821394460363,WEEKEND12,0.9
gap_extOFI,1000,6,6,1.0,0.08821226652526395,0.27392382168062634,8578,0.14771684607862343,0.14816973653532292,WEEKEND12,0.9
gap_extOFI,2000,6,6,1.0,0.15296521366489493,0.38394939983516085,5179,0.2397386099213583,0.2407800733732381,WEEKEND12,0.9
gap_extOFI,5000,6,6,1.0,0.27739720490978514,0.5333765861360268,2899,0.3895275898528171,0.3966885132804415,WEEKEND12,0.9
gap_extOFI,10000,6,6,1.0,0.37911270147080006,0.5822713609368467,2007,0.4969196813932245,0.49327354260089684,WEEKEND12,0.9
gap_extOFI,30000,6,6,1.0,0.5399973994466889,1.1967639648314112,1149,0.730403903281283,0.5900783289817232,WEEKEND12,0.9
gap_leader1000,1000,6,6,1.0,0.2155779675563965,0.3683511577412659,3659,0.2810206679117467,0.26291336430718776,WEEKEND12,0.9
gap_leader1000,2000,6,6,1.0,0.25453904855634046,0.4713485192237881,3194,0.34191244066654103,0.3287413901064496,WEEKEND12,0.9
gap_leader1000,5000,6,6,1.0,0.33234231774190476,0.4712479749532785,2524,0.4079806462117998,0.436608557844691,WEEKEND12,0.9
gap_leader1000,10000,6,6,1.0,0.3545689100115389,0.5839001630635102,1980,0.4804708734487416,0.5116161616161616,WEEKEND12,0.9
gap_leader1000,30000,6,6,1.0,0.37365820621131063,0.9519674972982951,1196,0.6116820004004357,0.5735785953177257,WEEKEND12,0.9
gap_localOFI,1000,6,6,1.0,0.09054532627209273,0.26429144602030913,6510,0.1548150004269066,0.16344086021505377,WEEKEND12,0.9
gap_localOFI,2000,6,6,1.0,0.13829671636500918,0.38708970852830205,4420,0.2232218469282236,0.24592760180995474,WEEKEND12,0.9
gap_localOFI,5000,6,6,1.0,0.2519793695949698,0.4073527793095922,2692,0.3300722122855654,0.3863298662704309,WEEKEND12,0.9
gap_localOFI,10000,6,6,1.0,0.2966821345301834,0.5714150856517085,1905,0.4554370013462295,0.48871391076115483,WEEKEND12,0.9
gap_localOFI,30000,6,6,1.0,0.35373188102776054,1.2135357487562375,1126,0.6680107550561715,0.58348134991119,WEEKEND12,0.9
gap_localTrade,1000,6,6,1.0,0.21188811797268245,0.5595912354424608,2289,0.3671367938203479,0.27348186981214506,WEEKEND12,0.9
gap_localTrade,2000,6,6,1.0,0.275282741612355,0.5860949700268369,1967,0.422381145765659,0.34570411794611083,WEEKEND12,0.9
gap_localTrade,5000,6,6,1.0,0.38062094299279425,0.6776387552584515,1531,0.5150236134625567,0.46178967994774656,WEEKEND12,0.9
gap_localTrade,10000,6,6,1.0,0.46456611323613284,0.8727025100420174,1230,0.6571061690959041,0.5487804878048781,WEEKEND12,0.9
gap_localTrade,30000,6,6,1.0,0.45856614160968395,1.1558494936627477,829,0.7734197218783561,0.586248492159228,WEEKEND12,0.9
leader1000_extOFI,1000,6,6,1.0,0.09213825489830056,0.1937261987576073,10308,0.13350445117582074,0.18112145906092356,WEEKEND12,0.9
leader1000_extOFI,2000,6,6,1.0,0.11723982539189598,0.2138622550551854,8042,0.16555472119702172,0.24247699577219597,WEEKEND12,0.9
