session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,hit_rate
20260905T073818Z_e44d99bd,WE,BTC,gap_extOFI,5000,0.95,0.5454764002248423,362,0.3785409564794352,0.3784530386740331
20260905T073818Z_e44d99bd,WE,BTC,gap_extOFI,10000,0.95,0.5454764002248423,258,0.5799850068114746,0.5
20260905T073818Z_e44d99bd,WE,BTC,gap_extOFI,30000,0.95,0.5454764002248423,174,0.6664451647539213,0.6149425287356322
20260905T073818Z_e44d99bd,WE,BTC,gap_leader1000,1000,0.8,0.33075622686684625,1097,0.1706411957666261,0.17137648131267091
20260905T073818Z_e44d99bd,WE,BTC,gap_leader1000,2000,0.8,0.33075622686684625,926,0.18180177518558707,0.20518358531317496
20260905T073818Z_e44d99bd,WE,BTC,gap_leader1000,5000,0.8,0.33075622686684625,684,0.2424565006443921,0.29385964912280704
20260905T073818Z_e44d99bd,WE,BTC,gap_leader1000,10000,0.8,0.33075622686684625,516,0.3485082303461993,0.4011627906976744
20260905T073818Z_e44d99bd,WE,BTC,gap_leader1000,30000,0.8,0.33075622686684625,304,0.5188258521335356,0.5263157894736842
20260905T073818Z_e44d99bd,WE,BTC,gap_leader1000,1000,0.9,0.44852834352759896,687,0.2155779675563965,0.19796215429403202
20260905T073818Z_e44d99bd,WE,BTC,gap_leader1000,2000,0.9,0.44852834352759896,588,0.25453904855634046,0.24489795918367346
20260905T073818Z_e44d99bd,WE,BTC,gap_leader1000,5000,0.9,0.44852834352759896,454,0.33234231774190476,0.3303964757709251
20260905T073818Z_e44d99bd,WE,BTC,gap_leader1000,10000,0.9,0.44852834352759896,364,0.4363662932984146,0.43956043956043955
20260905T073818Z_e44d99bd,WE,BTC,gap_leader1000,30000,0.9,0.44852834352759896,238,0.5977397784339419,0.5714285714285714
20260905T073818Z_e44d99bd,WE,BTC,gap_leader1000,1000,0.95,0.5454764002248423,432,0.29030965747502563,0.23842592592592593
20260905T073818Z_e44d99bd,WE,BTC,gap_leader1000,2000,0.95,0.5454764002248423,381,0.33802777591464217,0.29396325459317585
20260905T073818Z_e44d99bd,WE,BTC,gap_leader1000,5000,0.95,0.5454764002248423,310,0.3977962793938426,0.38064516129032255
20260905T073818Z_e44d99bd,WE,BTC,gap_leader1000,10000,0.95,0.5454764002248423,258,0.5549639254568066,0.49612403100775193
20260905T073818Z_e44d99bd,WE,BTC,gap_leader1000,30000,0.95,0.5454764002248423,182,0.5842365173662091,0.5989010989010989
