session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,median_signed_bps,hit_rate,mean_abs_move
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,2000,0.8,0.7720943112588021,2788,0.11616103877004061,0.0,0.1951219512195122,0.14931995518614022
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,5000,0.8,0.7720943112588021,1430,0.2211560822920907,0.0,0.33426573426573425,0.30667100858282675
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,10000,0.8,0.7720943112588021,889,0.3275515447658093,0.0,0.4578177727784027,0.4939131595925095
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,30000,0.8,0.7720943112588021,433,0.45632631097926957,0.25119300981398235,0.5889145496535797,0.9462774637355761
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,100,0.9,0.8775856745909232,2674,0.03494427823528137,0.0,0.053103964098728494,0.03866436207603983
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,200,0.9,0.8775856745909232,2674,0.04393290114330366,0.0,0.06843679880329095,0.049662315271605924
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,500,0.9,0.8775856745909232,2674,0.06903035379762348,0.0,0.10508601346297682,0.07912648807273608
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,1000,0.9,0.8775856745909232,2674,0.1035655271293905,0.0,0.16566940912490652,0.12067735383752133
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,2000,0.9,0.8775856745909232,1610,0.17067729303263557,0.0,0.2639751552795031,0.20887993813369804
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,5000,0.9,0.8775856745909232,901,0.3130313149610352,0.0,0.42286348501664817,0.39950316691778065
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,10000,0.9,0.8775856745909232,610,0.4547210259956539,0.188421972709099,0.559016393442623,0.6212228431673112
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,30000,0.9,0.8775856745909232,340,0.5957004909800188,0.4144762756665844,0.65,1.028807876366338
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,100,0.95,0.938089448259998,1517,0.05308467274321673,0.0,0.08108108108108109,0.056428463129124605
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,200,0.95,0.938089448259998,1517,0.06313200859106861,0.0,0.1008569545154911,0.07066259339306244
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,500,0.95,0.938089448259998,1517,0.09529901921289471,0.0,0.14634146341463414,0.10726745871920466
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,1000,0.95,0.938089448259998,1517,0.1445079243784555,0.0,0.22544495715227422,0.15960386088677717
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,2000,0.95,0.938089448259998,977,0.22417086917588497,0.0,0.34390992835209827,0.260237796930773
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,5000,0.95,0.938089448259998,609,0.39532551516171294,0.05024548057792482,0.5155993431855501,0.47979417750382203
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,10000,0.95,0.938089448259998,446,0.5561654689619577,0.401603907328814,0.6367713004484304,0.7046744153018872
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,30000,0.95,0.938089448259998,281,0.7412148559793269,0.6281126911603921,0.7117437722419929,1.1289145373177218
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,100,0.8,0.7796522366813495,4909,0.018849954942946306,0.0,0.031982073742106334,0.018993286942953977
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,200,0.8,0.7796522366813495,4909,0.02291897349456338,0.0,0.042778569973518026,0.02702144349541206
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,500,0.8,0.7796522366813495,4909,0.04259129211289379,0.0,0.07027907924220819,0.049880498078424824
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,1000,0.8,0.7796522366813495,4909,0.0645233406055777,0.0,0.11142798940721124,0.07819674636406716
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,2000,0.8,0.7796522366813495,2800,0.11436786412073133,0.0,0.18964285714285714,0.14242291483804997
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,5000,0.8,0.7796522366813495,1425,0.22212129741178738,0.0,0.32280701754385965,0.2986133932907927
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,10000,0.8,0.7796522366813495,890,0.3150778604895681,0.0,0.4449438202247191,0.4802876494207821
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,30000,0.8,0.7796522366813495,429,0.49883680854166884,0.3265853678738937,0.5944055944055944,0.928672897283237
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,100,0.9,0.874325050746556,2737,0.029039760054565083,0.0,0.046766532700036535,0.030839237757768534
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,200,0.9,0.874325050746556,2737,0.036910668759021256,0.0,0.06247716477895506,0.041646053797215796
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,500,0.9,0.874325050746556,2737,0.06427444047379513,0.0,0.10047497259773475,0.0735331268469567
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,1000,0.9,0.874325050746556,2737,0.09800148598526548,0.0,0.15747168432590428,0.11370063617376792
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,2000,0.9,0.874325050746556,1652,0.1638867370608044,0.0,0.2542372881355932,0.19411131347023758
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,5000,0.9,0.874325050746556,914,0.29342276218178764,0.0,0.41684901531728663,0.38540198182832747
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,10000,0.9,0.874325050746556,620,0.4293712663845442,0.16311301152868612,0.5451612903225806,0.5970887264570119
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,30000,0.9,0.874325050746556,342,0.6089391632567349,0.4519143211334452,0.6432748538011696,1.03988019478026
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,100,0.95,0.9365437985205914,1531,0.04680559184047618,0.0,0.07576747224036577,0.04700252848304433
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,200,0.95,0.9365437985205914,1531,0.05707167548415197,0.0,0.09405617243631613,0.060859761259823446
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,500,0.95,0.9365437985205914,1531,0.09118423943278975,0.0,0.14304376224689747,0.09841766402992612
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,1000,0.95,0.9365437985205914,1531,0.1371770084421694,0.0,0.21750489875898105,0.15123239409214667
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,2000,0.95,0.9365437985205914,985,0.2106961680536319,0.0,0.3319796954314721,0.24616524722545993
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,5000,0.95,0.9365437985205914,600,0.3822529120746224,0.01255664825210991,0.5016666666666667,0.45715934770459266
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,10000,0.95,0.9365437985205914,443,0.5367472355941149,0.3644525546033719,0.6252821670428894,0.6855313587964533
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l5,30000,0.95,0.9365437985205914,281,0.6725865643785183,0.5774654165738856,0.6868327402135231,1.087438309342917
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,100,0.8,0.014173882185171108,12065,0.009961243374142325,0.0,0.014504765851636967,0.011632521567949439
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,200,0.8,0.014173882185171108,12064,0.011489561289440139,0.0,0.017738726790450927,0.01455379802794203
20260905T073818Z_e44d99bd,WE,BTC,external_ofi,500,0.8,0.014173882185171108,12064,0.015689345423705942,0.0,0.028431697612732097,0.026257648468032146
