feature,horizon_ms,blocks,positive_blocks,positive_share,min_block,max_block,N,mean_signed_bps,avg_hit_rate
fair_gap_reversion,10000,22,22,1.0,0.2161035716829406,0.7721394251195981,10090,0.49711994240862456,0.5530227948463825
fair_gap_reversion,30000,22,22,1.0,0.2979754991935929,1.0866062963591203,5146,0.659933696636439,0.5746210649047804
leader_gap_1000ms,100,22,22,1.0,0.0512306063705621,0.1925882022497214,44247,0.10679171447633602,0.1212511582706172
leader_gap_1000ms,200,22,22,1.0,0.0537443529193012,0.1994357185338953,44247,0.12376048954809506,0.15811241440097631
leader_gap_1000ms,500,22,22,1.0,0.0593136768833964,0.2352730129984363,44244,0.14850637929108998,0.22283247445981377
leader_gap_1000ms,1000,22,22,1.0,0.0692002568399321,0.2768148079710065,44240,0.1774983589779922,0.2879068716094032
leader_gap_1000ms,2000,22,22,1.0,0.0875600912387694,0.3315836965137315,32389,0.2188843883504214,0.36629719966655344
leader_gap_1000ms,5000,22,22,1.0,0.0127460348592781,0.4397737265350521,21274,0.2651316480362497,0.45087900723888313
leader_gap_1000ms,10000,22,22,1.0,0.1040795055742732,0.4839766754402894,14299,0.2837186108168824,0.4891950486047975
leader_gap_1000ms,30000,22,22,1.0,0.046680442013715163,0.7364594665398838,6534,0.3689307382244278,0.522191613100704
leader_gap_500ms,100,22,22,1.0,0.0394615006571854,0.1798906812906801,52707,0.09768365865041485,0.1206481112565693
leader_gap_500ms,200,22,22,1.0,0.0435727280031449,0.185037550429822,52707,0.11271321292206775,0.15498890090500309
leader_gap_500ms,500,22,22,1.0,0.0520985256897099,0.2266393771519742,52702,0.13362687704124526,0.21549466813403662
leader_gap_500ms,1000,22,22,1.0,0.0594571256944932,0.2432147970966011,52699,0.1549978196398199,0.2740659215544887
leader_gap_500ms,2000,22,22,1.0,0.0599110552506081,0.29828214492433436,40290,0.1799135339680925,0.33655994043186893
leader_gap_500ms,5000,22,22,1.0,0.0887468819121048,0.3959717688722124,25525,0.2053845402313887,0.4171596474045054
leader_gap_500ms,10000,22,22,1.0,0.125731580199644,0.5122822873809447,16404,0.24706140320958955,0.46781272860277984
leader_gap_500ms,30000,22,18,0.8181818181818182,-0.10388038678393442,0.7295120944007939,7050,0.21645344886972562,0.5001418439716312
