session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,median_signed_bps,hit_rate,mean_abs_move
20260907T221751Z_3abdfd02,NEW12,ETH,leader_gap_500ms,30000,0.9,0.40130571846349605,313,-0.10388038678393442,0.0,0.49201277955271566,2.5829021663454492
20260907T221751Z_3abdfd02,NEW12,ETH,leader_gap_500ms,100,0.95,0.6111702897385227,1408,0.2221360948189387,0.0,0.1747159090909091,0.2584380523924254
20260907T221751Z_3abdfd02,NEW12,ETH,leader_gap_500ms,200,0.95,0.6111702897385227,1408,0.2372770575306456,0.0,0.2059659090909091,0.3193435313741699
20260907T221751Z_3abdfd02,NEW12,ETH,leader_gap_500ms,500,0.95,0.6111702897385227,1408,0.28007844941107485,0.0,0.2947443181818182,0.4376942274752102
20260907T221751Z_3abdfd02,NEW12,ETH,leader_gap_500ms,1000,0.95,0.6111702897385227,1408,0.31722777993026663,0.0,0.37144886363636365,0.558611179777335
20260907T221751Z_3abdfd02,NEW12,ETH,leader_gap_500ms,2000,0.95,0.6111702897385227,1175,0.39252750270184816,0.0,0.4714893617021277,0.7453121433811081
20260907T221751Z_3abdfd02,NEW12,ETH,leader_gap_500ms,5000,0.95,0.6111702897385227,842,0.3508534017998383,0.20096059920204912,0.5403800475059383,1.1521717037719574
20260907T221751Z_3abdfd02,NEW12,ETH,leader_gap_500ms,10000,0.95,0.6111702897385227,600,0.34766526939852826,0.28147895229979625,0.56,1.5377757151225708
20260907T221751Z_3abdfd02,NEW12,ETH,leader_gap_500ms,30000,0.95,0.6111702897385227,281,0.49730259942322813,0.20144922572962187,0.5516014234875445,2.501515132391524
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,100,0.8,0.1328231730255212,4771,0.04808210279229077,0.0,0.07943827289876336,0.05551809919745168
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,200,0.8,0.1328231730255212,4771,0.07344436102790435,0.0,0.11569901488157619,0.0905761513928536
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,500,0.8,0.1328231730255212,4771,0.10108622861811672,0.0,0.17103332634667784,0.1462830729389978
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,1000,0.8,0.1328231730255212,4770,0.13154190907138022,0.0,0.23165618448637318,0.24173500965994438
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,2000,0.8,0.1328231730255212,3206,0.1846079304225919,0.0,0.3128509045539613,0.3831223271162588
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,5000,0.8,0.1328231730255212,1663,0.25829597234458285,0.0,0.428743235117258,0.7397578363646111
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,10000,0.8,0.1328231730255212,935,0.32919370019512184,0.0,0.48770053475935826,1.1591290986420062
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,30000,0.8,0.1328231730255212,342,0.051448092577174996,0.0,0.49415204678362573,2.335453951713074
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,100,0.9,0.40440065940791486,3125,0.07635004102464897,0.0,0.12064,0.08570783157673069
20260908T074322Z_1057297f,NEW12,BTC,bitget_ofi,200,0.9,0.40440065940791486,3125,0.11181336645792363,0.0,0.16736,0.1297682099785913
