session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,hit_rate
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depthL1,5000,0.8,0.4956520929233488,907,0.5415378300937203,0.5953693495038589
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depthL1,10000,0.8,0.4956520929233488,616,0.6446918351002328,0.6217532467532467
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depthL1,30000,0.8,0.4956520929233488,281,0.656246934920706,0.5622775800711743
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depthL1,1000,0.9,0.6578680075813859,1350,0.3746053492966363,0.3725925925925926
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depthL1,2000,0.9,0.6578680075813859,932,0.5115109244711517,0.5182403433476395
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depthL1,5000,0.9,0.6578680075813859,625,0.6944111754677262,0.6112
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depthL1,10000,0.9,0.6578680075813859,459,0.7865348459350384,0.6296296296296297
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depthL1,30000,0.9,0.6578680075813859,239,0.9975655440978065,0.5941422594142259
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depthL1,1000,0.95,0.792020054783682,773,0.509408034206139,0.4269081500646831
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depthL1,2000,0.95,0.792020054783682,565,0.6846567162982674,0.5752212389380531
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depthL1,5000,0.95,0.792020054783682,423,0.8642543661897295,0.6524822695035462
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depthL1,10000,0.95,0.792020054783682,322,0.9595173026593838,0.6366459627329193
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depthL1,30000,0.95,0.792020054783682,199,1.3995070832803926,0.6482412060301508
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depth_extOFI,1000,0.8,0.4956520929233488,1994,0.3337921435982589,0.36609829488465395
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depth_extOFI,2000,0.8,0.4956520929233488,1345,0.4791470760288075,0.5085501858736059
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depth_extOFI,5000,0.8,0.4956520929233488,839,0.5841999131200533,0.6126340882002383
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depth_extOFI,10000,0.8,0.4956520929233488,578,0.7431739401508336,0.6366782006920415
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depth_extOFI,30000,0.8,0.4956520929233488,278,0.6449663359926042,0.564748201438849
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depth_extOFI,1000,0.9,0.6578680075813859,1151,0.43116378208446904,0.3953084274543875
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depth_extOFI,2000,0.9,0.6578680075813859,814,0.5827598863892605,0.5368550368550369
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depth_extOFI,5000,0.9,0.6578680075813859,548,0.7332280375664737,0.6295620437956204
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depth_extOFI,10000,0.9,0.6578680075813859,414,0.8533867572316344,0.6473429951690821
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depth_extOFI,30000,0.9,0.6578680075813859,230,1.1185499214904084,0.6260869565217392
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depth_extOFI,1000,0.95,0.792020054783682,650,0.5867982979120526,0.4523076923076923
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depth_extOFI,2000,0.95,0.792020054783682,488,0.7594956547940922,0.5840163934426229
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depth_extOFI,5000,0.95,0.792020054783682,365,0.8994263913087495,0.6575342465753424
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depth_extOFI,10000,0.95,0.792020054783682,289,1.0374171284854659,0.6505190311418685
20260907T221751Z_3abdfd02,NEW12,ETH,gap_depth_extOFI,30000,0.95,0.792020054783682,190,1.385168947691555,0.631578947368421
20260907T221751Z_3abdfd02,NEW12,ETH,gap_extOFI,1000,0.8,0.4956520929233488,2399,0.2904123580886844,0.3234681117132138
20260907T221751Z_3abdfd02,NEW12,ETH,gap_extOFI,2000,0.8,0.4956520929233488,1573,0.4250375916650819,0.4672600127145582
20260907T221751Z_3abdfd02,NEW12,ETH,gap_extOFI,5000,0.8,0.4956520929233488,939,0.539583427863035,0.5729499467518637
20260907T221751Z_3abdfd02,NEW12,ETH,gap_extOFI,10000,0.8,0.4956520929233488,628,0.6443589275362738,0.6130573248407644
20260907T221751Z_3abdfd02,NEW12,ETH,gap_extOFI,30000,0.8,0.4956520929233488,285,0.4826316813603536,0.5684210526315789
20260907T221751Z_3abdfd02,NEW12,ETH,gap_extOFI,1000,0.9,0.6578680075813859,1307,0.42689733768451754,0.37413925019127775
20260907T221751Z_3abdfd02,NEW12,ETH,gap_extOFI,2000,0.9,0.6578680075813859,908,0.5670806039846429,0.51431718061674
20260907T221751Z_3abdfd02,NEW12,ETH,gap_extOFI,5000,0.9,0.6578680075813859,597,0.7374377063032488,0.6180904522613065
20260907T221751Z_3abdfd02,NEW12,ETH,gap_extOFI,10000,0.9,0.6578680075813859,439,0.8624261745307638,0.6492027334851936
20260907T221751Z_3abdfd02,NEW12,ETH,gap_extOFI,30000,0.9,0.6578680075813859,238,0.8931068764031141,0.6092436974789915
20260907T221751Z_3abdfd02,NEW12,ETH,gap_extOFI,1000,0.95,0.792020054783682,724,0.6166732314189834,0.43922651933701656
20260907T221751Z_3abdfd02,NEW12,ETH,gap_extOFI,2000,0.95,0.792020054783682,531,0.778761383811736,0.5725047080979284
20260907T221751Z_3abdfd02,NEW12,ETH,gap_extOFI,5000,0.95,0.792020054783682,386,0.9622915321315266,0.6476683937823834
20260907T221751Z_3abdfd02,NEW12,ETH,gap_extOFI,10000,0.95,0.792020054783682,300,1.1510243781222342,0.6533333333333333
20260907T221751Z_3abdfd02,NEW12,ETH,gap_extOFI,30000,0.95,0.792020054783682,193,1.2333645065988428,0.6321243523316062
20260907T221751Z_3abdfd02,NEW12,ETH,gap_leader1000,1000,0.8,0.4956520929233488,1795,0.3198058828173565,0.37270194986072425
20260907T221751Z_3abdfd02,NEW12,ETH,gap_leader1000,2000,0.8,0.4956520929233488,1443,0.3937021663002896,0.483021483021483
20260907T221751Z_3abdfd02,NEW12,ETH,gap_leader1000,5000,0.8,0.4956520929233488,989,0.4568041095607501,0.5672396359959555
20260907T221751Z_3abdfd02,NEW12,ETH,gap_leader1000,10000,0.8,0.4956520929233488,661,0.5140635128455643,0.5869894099848714
20260907T221751Z_3abdfd02,NEW12,ETH,gap_leader1000,30000,0.8,0.4956520929233488,296,0.40027646128549593,0.5574324324324325
20260907T221751Z_3abdfd02,NEW12,ETH,gap_leader1000,1000,0.9,0.6578680075813859,1083,0.47006251000444754,0.43490304709141275
